date,logreturns
2/6/14,-0.018222758
2/5/14,-0.012283541
2/4/14,0.00442161
2/3/14,-0.00859542
1/31/14,0.023389486
1/30/14,0.002974062
1/29/14,-0.018454203
1/28/14,0.010869766
1/27/14,0.000940876
1/24/14,0.009207923
1/23/14,0.020204063
1/22/14,0.00385557
1/21/14,-0.002765887
1/17/14,-0.007338133
1/16/14,0.005564718
1/15/14,-0.000401599
1/14/14,-0.008119102
1/13/14,-0.019130908
1/10/14,0.014773054
1/9/14,-0.003515209
1/8/14,0.004204997
1/7/14,-0.002719853
1/6/14,-0.00872012
1/3/14,0.003331596
1/2/14,0.006994946
12/31/13,0.007946299
12/30/13,-0.006121146
12/27/13,0.001103008
12/26/13,0.0029503
12/24/13,-0.00329171
12/23/13,-0.000952088
12/20/13,-0.01076259
12/19/13,-0.009263461
12/18/13,0.003139156
12/17/13,-0.011552009
12/16/13,0.001863182
12/13/13,-0.005594206
12/12/13,0.001124816
12/11/13,0.002511085
12/10/13,0.012948418
12/9/13,0.000560426
12/6/13,-0.003392958
12/5/13,-0.007599589
12/4/13,0.00151708
12/3/13,-0.001054242
12/2/13,0.000520078
11/29/13,0.0019142
11/27/13,-0.004983986
11/26/13,-0.007148423
11/25/13,-0.005316275
11/22/13,-0.001597195
11/21/13,-0.005650031
11/20/13,-0.01050836
11/19/13,0.003249673
11/18/13,0.003174231
11/15/13,0.00989812
11/14/13,-0.002176165
11/13/13,-0.002809098
11/12/13,-0.01191605
11/11/13,-0.000668828
11/8/13,0.001150107
11/7/13,-0.013585227
11/6/13,0.019076768
11/5/13,0.001015618
11/4/13,-0.00120173
11/1/13,-0.001475347
10/31/13,-0.000600815
10/30/13,0.002262274
10/29/13,0.001879852
10/28/13,-0.002677718
10/25/13,0.000339909
10/24/13,-0.006359148
10/23/13,-0.004868511
10/22/13,0.006220804
10/21/13,-0.001709247
10/18/13,-0.002174218
10/17/13,-0.015807613
10/16/13,-0.005957833
10/15/13,-0.011341871
10/14/13,0.003495023
10/11/13,-0.006838397
10/10/13,-0.007134608
10/9/13,-0.021504377
10/8/13,0.003602062
10/7/13,0.019411683
10/4/13,0.008324272
10/3/13,-0.008902853
10/2/13,0.012194198
10/1/13,-6.46E-05
9/30/13,-0.010770821
9/27/13,0.003752815
9/26/13,0.001157117
9/25/13,-0.007913008
9/24/13,0.003146002
9/23/13,0.000211246
9/20/13,0.001672856
9/19/13,0.003986177
9/18/13,-0.001947776
9/17/13,-0.012606557
9/16/13,-0.006962818
9/13/13,0.003021917
9/12/13,-0.000853026
9/11/13,0.001350027
9/10/13,0.001637096
9/9/13,-0.004764761
9/6/13,-0.011597212
9/5/13,-0.001098459
9/4/13,-0.001726763
9/3/13,-0.010546564
8/30/13,-0.005822674
8/29/13,0.006340044
8/28/13,-0.006873726
8/27/13,-0.004106501
8/26/13,0.020410753
8/23/13,0.000512251
8/22/13,-0.00721162
8/21/13,-0.009832762
8/20/13,0.00347762
8/19/13,-0.004034512
8/16/13,0.001350984
8/15/13,0.000754454
8/14/13,0.017152449
8/13/13,0.003703052
8/12/13,-0.004828484
8/9/13,-0.002357275
8/8/13,0.003696779
8/7/13,-0.003658301
8/6/13,0.00112484
8/5/13,0.006700326
8/2/13,0.000104983
8/1/13,-0.005492994
7/31/13,-0.011617619
7/30/13,-0.001573957
7/29/13,-0.005323137
7/26/13,0.002369338
7/25/13,-0.004744303
7/24/13,-0.006721497
7/23/13,-0.003214463
7/22/13,0.007830317
7/19/13,-0.003376964
7/18/13,0.010743642
7/17/13,0.002420861
7/16/13,-0.002534584
7/15/13,0.000773064
7/12/13,-0.000253291
7/11/13,-0.006389174
7/10/13,-0.019406165
7/9/13,-0.005460349
7/8/13,-0.006113842
7/5/13,-0.000981558
7/3/13,-0.007387457
7/2/13,-0.004012923
7/1/13,-0.000778558
6/28/13,-0.006081962
6/27/13,-0.000949034
6/26/13,-0.004478785
6/25/13,-0.009496022
6/24/13,-0.006404558
6/21/13,0.010387545
6/20/13,0.004295922
